no_correlativo,pc_delantero_arriba1,pc_delantero_arriba2,pc_delantero_abajo1,pc_delantero_abajo2,pc_trasero_arriba1,pc_trasero_arriba2,pc_trasero_abajo1,pc_trasero_abajo2
9310,72,28,46,15,25,61,28,60
9366,20,15,60,26,26,53,23,57
9367,61,23,60,14,11,72,15,41
9369,14,70,43,63,15,61,11,46
9370,60,61,35,63,23,67,35,63
9373,25,70,53,46,14,26,3,61
9374,26,65,60,14,56,61,43,43
9375,65,47,35,65,16,14,35,35
9377,46,65,31,31,40,17,61,23
9379,65,14,31,57,6,26,66,28
9382,,,35,72,28,21,49,61
9383,14,26,13,46,60,53,38,72
9385,,,35,66,61,23,43,35
9388,13,61,60,15,6,15,46,25
9390,,,35,72,15,14,53,53
9424,15,15,31,31,67,67,1,1
9426,72,11,46,46,2,71,9,31
9429,20,28,35,21,70,11,35,1
9467,19,10,4,48,33,54,22,51
9475,33,59,4,1,20,52,3,27
9482,23,66,44,22,59,19,4,32
9546,19,19,22,22,20,52,3,3
9547,37,22,44,12,23,23,55,54
9565,66,66,44,44,20,37,44,5
9616,47,23,60,57,28,28,62,62
9617,42,2,35,2,72,53,35,2
9618,42,2,35,6,72,65,35,6
9619,16,16,46,57,42,40,57,31
9622,53,25,35,42,11,67,35,42
9623,28,13,60,45,21,65,46,9
9624,67,28,35,57,56,56,35,35
9625,63,65,31,57,67,11,31,57
9626,6,53,43,57,72,25,43,25
9627,23,25,31,31,40,17,57,38
9628,67,67,35,56,72,40,35,35
9633,67,65,46,57,56,67,72,9
9635,,,44,53,21,62,44,46
9636,65,65,60,45,40,40,2,2
9638,47,25,46,46,42,42,57,57
9640,65,25,35,2,53,72,2,35
9691,53,2,67,46,20,11,21,21
9692,28,2,60,57,25,21,60,60
9694,28,70,60,45,70,65,56,56
9695,70,65,35,57,28,67,49,57
9696,21,28,62,25,25,62,2,60
9699,12,65,60,45,11,65,12,56
9702,28,21,60,45,6,61,13,13
9703,17,11,46,46,70,25,45,47
9704,,,31,45,67,42,31,45
9706,42,42,35,49,21,21,35,35
9710,23,25,35,45,42,65,60,45
9712,56,67,46,46,40,72,57,28
9714,53,53,70,46,42,42,46,72
9715,42,42,31,45,21,62,45,45
9754,,,43,43,,,44,44
