id,inicio_paletizado,fin_paletizado,carga_EXPO_lista_rampa,inicio_despaletizado,fin_despaletizado,hora_asegurado,compartimientos_abiertos,inicio_descarga,fin_descarga,inicio_cargado,fin_cargado,compartimientos_cerrados,puerta_cerrada,hora_retro_empuje,hora_despegue,hora_aterrizaje,fin_limpieza_cabina,cierre_vuelo_mostrador,primer_equipaje_faja,ultimo_equipaje_faja,inicio_limpieza_cabina
3103,,,,,,22:45:00,22:46:00,22:47:00,23:03:00,,,23:05:00,,,,22:38:00,00:04:00,,22:56:00,23:12:00,23:09:00
3104,,,,,,18:54:00,18:56:00,18:58:00,,,,19:10:00,,,,18:49:00,19:50:00,,19:05:00,19:16:00,19:11:00
3105,,,,,,18:29:00,18:32:00,18:34:00,18:44:00,,,18:47:00,,,,18:26:00,19:20:00,,18:42:00,18:53:00,18:50:00
3106,,,,,,19:09:00,19:10:00,19:11:00,19:23:00,,,19:24:00,,,,19:05:00,20:14:00,,19:21:00,19:27:00,19:25:00
3107,,,,,,18:43:00,18:47:00,18:48:00,18:57:00,,,,,,,18:40:00,19:35:00,,18:51:00,18:59:00,19:02:00
3108,,,,,,18:54:00,18:57:00,18:59:00,19:04:00,,,19:10:00,,,,18:46:00,20:03:00,,19:08:00,19:13:00,19:15:00
3109,,,,,,19:28:00,19:29:00,19:30:00,19:40:00,,,19:43:00,,,,19:20:00,20:31:00,,19:36:00,19:46:00,19:49:00
3110,,,,,,18:51:00,18:52:00,18:53:00,19:04:00,,,19:05:00,,,,18:43:00,19:48:00,,19:00:00,19:04:00,19:05:00
3111,,,,,,18:50:00,18:53:00,18:56:00,19:07:00,,,19:09:00,,,,18:46:00,19:52:00,,19:05:00,19:16:00,19:10:00
3148,,,,,,16:00:00,16:03:00,16:06:00,16:26:00,16:24:00,16:24:00,16:50:00,17:00:00,17:09:00,17:38:00,15:52:00,16:26:00,16:25:00,16:15:00,16:26:00,16:17:00
3150,,,,,,16:20:00,16:24:00,16:26:00,16:34:00,16:39:00,17:03:00,17:05:00,17:05:00,17:06:00,17:16:00,16:13:00,16:47:00,16:17:00,16:35:00,16:41:00,16:39:00
3199,,,,,,19:53:00,19:56:00,19:58:00,20:10:00,,,20:19:00,,,,19:46:00,20:56:00,,20:07:00,20:18:00,20:13:00
3200,,,,,,19:37:00,19:41:00,19:43:00,19:45:00,,,19:51:00,,,,19:34:00,20:46:00,,19:50:00,19:53:00,20:00:00
3201,,,,,,20:08:00,20:09:00,20:10:00,20:20:00,,,20:21:00,,,,19:59:00,20:02:00,,20:15:00,20:25:00,20:23:00
3202,,,,,,20:00:00,20:03:00,20:06:00,20:15:00,,,20:17:00,,,,19:51:00,21:12:00,,20:15:00,20:24:00,20:24:00
3203,,,,,,20:12:00,20:15:00,20:18:00,20:25:00,,,20:27:00,,,,20:07:00,21:14:00,,20:27:00,20:35:00,20:31:00
3204,,,,,,19:58:00,19:59:00,20:00:00,20:18:00,,,20:20:00,,,,19:53:00,20:59:00,,20:10:00,20:21:00,20:21:00
3205,,,,,,19:48:00,19:51:00,19:52:00,19:58:00,,,,,,,19:45:00,20:55:00,,20:00:00,20:08:00,20:10:00
3206,,,,,,20:23:00,20:26:00,20:28:00,20:35:00,,,20:38:00,,,,20:18:00,21:30:00,,20:35:00,20:44:00,20:42:00
3207,,,,,,19:52:00,19:55:00,19:57:00,20:09:00,,,20:10:00,,,,19:48:00,20:47:00,,20:05:00,20:15:00,20:16:00
3208,,,,,,19:54:00,19:55:00,19:57:00,20:06:00,,,20:07:00,,,,19:50:00,20:47:00,,20:01:00,20:10:00,20:12:00
3209,,,,,,19:32:00,19:33:00,19:34:00,19:48:00,,,19:49:00,,,,19:28:00,20:31:00,,19:42:00,19:50:00,19:51:00
3211,,,,,,19:45:00,19:46:00,19:47:00,19:59:00,,,20:00:00,,,,19:42:00,20:55:00,,19:55:00,20:05:00,20:03:00
3212,,,,,,19:36:00,19:37:00,19:38:00,19:38:00,,,20:03:00,,,,19:31:00,20:39:00,,19:45:00,20:05:00,20:39:00
3213,,,,,,19:59:00,20:03:00,20:05:00,20:13:00,,,20:15:00,,,,19:51:00,21:08:00,,20:08:00,20:22:00,20:05:00
3214,,,,,,,19:30:00,19:32:00,19:38:00,,,,,,,19:19:00,20:25:00,,19:39:00,19:46:00,19:44:00
3215,,,,,,19:56:00,19:59:00,20:02:00,20:19:00,,,20:16:00,,,,19:52:00,21:04:00,,20:11:00,20:23:00,20:19:00
3216,,,,,,20:32:00,20:36:00,20:38:00,20:44:00,,,20:46:00,,,,20:26:00,21:44:00,,20:46:00,20:54:00,20:47:00
3257,,,,,,18:38:00,18:42:00,18:44:00,18:50:00,,,18:55:00,,,,18:32:00,19:40:00,,18:51:00,18:59:00,19:02:00
3258,,,,,,19:33:00,19:41:00,19:44:00,19:47:00,,,19:50:00,,,,19:24:00,20:44:00,,19:33:00,19:56:00,20:07:00
3260,,,,,,19:28:00,19:29:00,19:30:00,19:45:00,,,19:46:00,,,,19:20:00,20:25:00,,19:40:00,19:48:00,19:46:00
3262,,,,,,20:14:00,20:15:00,20:18:00,20:30:00,,,20:31:00,,,,20:11:00,20:17:00,,20:25:00,20:35:00,20:34:00
3263,,,,,,19:25:00,19:26:00,19:27:00,19:40:00,,,19:42:00,,,,19:17:00,20:24:00,,19:33:00,19:43:00,19:44:00
3264,,,,,,20:15:00,20:18:00,20:20:00,20:29:00,,,20:36:00,,,,20:03:00,21:18:00,,,,20:34:00
3266,,,,,,19:30:00,19:31:00,19:32:00,19:45:00,,,19:47:00,,,,19:22:00,20:19:00,,19:40:00,19:48:00,19:49:00
