no_correlativo,fase_1,fase_2,fase_3,fase_4,fase_5,fase_6,fase_7,fase_8,fase_9,fase_10,iniciada
9384,True,True,True,True,True,True,True,True,True,True,True
9385,True,True,True,True,True,True,True,True,True,True,True
9388,True,True,True,True,True,True,True,True,True,True,True
9390,True,True,True,True,True,True,True,True,True,True,True
9426,True,True,True,True,True,True,True,True,True,True,True
9428,True,True,True,True,True,False,True,True,True,True,True
9429,True,True,True,True,True,True,True,True,True,True,True
9439,True,True,True,True,True,True,True,True,True,True,True
9467,True,True,True,True,True,True,True,True,True,True,True
9472,True,True,True,True,True,True,True,True,False,True,True
9475,True,True,True,True,True,True,True,True,True,True,True
9476,False,False,False,False,False,False,False,False,False,True,True
9482,True,True,True,True,True,True,True,True,True,True,True
9484,True,True,True,True,True,True,True,True,True,True,True
9546,True,False,True,True,True,True,True,True,False,True,True
9547,True,True,True,True,True,True,True,True,True,True,True
9551,False,False,False,False,False,False,False,False,False,True,True
9553,False,False,True,False,False,False,False,False,False,True,True
9555,True,True,True,True,True,True,True,True,True,True,True
9562,False,False,False,False,False,False,False,False,False,False,True
9565,True,True,True,True,True,True,True,True,True,True,True
9616,True,True,True,True,True,True,True,True,True,True,True
9617,True,True,True,True,True,True,True,True,True,True,True
9618,True,True,True,True,True,True,True,True,True,True,True
9620,True,True,True,False,False,False,False,False,False,False,True
9622,True,True,True,True,True,True,True,True,True,True,True
9623,True,True,True,True,True,True,False,False,False,False,True
9624,True,True,True,True,True,True,True,True,True,True,True
9625,True,True,True,True,True,True,True,True,True,True,True
9626,True,True,True,True,True,True,True,True,True,True,True
9627,False,False,True,False,True,True,True,True,False,True,True
9628,True,True,True,True,True,True,True,True,True,True,True
9630,True,True,True,True,True,True,True,True,True,True,True
9631,False,False,True,False,True,False,False,True,True,True,True
9633,True,True,True,True,True,True,True,True,True,True,True
9634,True,True,True,True,True,True,True,True,True,True,True
9635,True,True,True,True,True,True,True,True,True,True,True
9636,True,True,True,True,True,True,True,True,True,True,True
9638,True,True,True,True,True,True,True,True,True,True,True
9640,True,True,True,True,True,True,True,True,True,True,True
9691,True,True,True,True,True,True,True,True,True,True,True
9692,True,True,True,True,True,True,True,True,True,True,True
9695,True,True,True,True,True,True,True,True,True,True,True
9696,True,True,True,True,True,True,True,True,True,True,True
9699,True,True,True,True,True,True,True,True,True,True,True
9701,False,False,True,True,True,False,False,True,False,True,True
9702,True,True,True,True,True,True,True,True,True,True,True
9703,True,True,True,True,True,True,True,True,True,True,True
9704,True,True,True,True,True,True,True,True,True,True,True
9705,True,True,True,True,True,True,True,True,True,True,True
9706,True,True,True,True,True,True,True,True,True,True,True
9709,True,True,True,True,True,True,True,True,True,True,True
9710,True,True,True,True,True,True,True,True,True,True,True
9712,True,True,True,True,True,True,True,True,True,True,True
9713,True,True,True,True,True,True,True,True,True,True,True
9714,True,True,True,True,True,True,True,True,True,True,True
9715,True,True,True,True,True,True,True,True,True,True,True
9749,True,True,True,False,False,False,False,False,False,False,True
9750,False,False,False,False,False,False,False,False,False,False,True
9754,True,True,True,True,True,True,True,True,True,True,True
9759,False,False,False,False,False,False,False,False,False,False,True
9780,True,True,True,True,False,True,True,True,True,True,True
9783,True,True,True,True,False,True,True,True,True,True,True
9788,True,True,True,True,False,True,True,True,True,True,True
9867,True,True,True,True,False,True,True,True,False,True,True
9878,True,True,True,True,False,True,True,True,True,True,True
9896,True,True,True,True,False,True,True,True,True,True,True
9900,True,True,True,True,False,True,True,True,True,True,True
9905,True,True,True,True,False,True,True,True,True,True,True
9909,True,True,True,True,False,True,True,True,True,True,True
9911,True,True,True,True,False,True,True,True,True,True,True
9914,True,False,True,True,False,False,False,True,False,True,True
9921,True,True,True,True,False,False,True,True,False,True,True
9926,True,True,True,True,False,True,True,True,False,True,True
9929,True,True,True,True,False,True,True,True,True,True,True
9932,True,True,True,True,False,True,True,True,True,True,True
9933,True,True,True,True,False,True,True,True,True,True,True
9934,True,True,True,True,False,True,True,True,True,True,True
9935,True,True,True,True,False,True,True,True,True,True,True
9936,True,True,True,True,False,True,True,True,True,True,True
9937,True,True,True,True,False,True,True,True,True,True,True
9938,True,True,True,True,False,True,True,True,True,True,True
9939,True,True,True,True,False,True,True,True,True,True,True
9941,True,True,True,True,False,True,True,True,True,True,True
9942,True,True,True,True,False,True,True,True,True,True,True
9943,True,True,True,True,False,True,True,True,True,True,True
9944,True,True,True,True,False,True,True,True,True,True,True
9946,True,True,True,True,False,True,True,True,True,True,True
9947,True,True,True,True,False,True,True,True,True,True,True
9948,True,True,True,True,False,True,True,True,True,True,True
9949,True,True,True,True,False,True,True,True,True,True,True
9950,True,True,True,True,False,True,True,True,True,True,True
9951,True,True,True,True,False,True,True,True,True,True,True
9952,True,True,True,True,False,True,True,True,True,True,True
9953,True,True,True,True,False,True,True,True,True,True,True
9985,False,False,False,False,False,False,False,False,False,False,True
9986,False,False,False,False,False,False,False,False,False,False,True
9987,False,False,False,False,False,False,False,False,False,False,True
9993,True,True,True,True,False,True,True,True,True,True,True
9995,True,True,True,True,False,True,True,True,True,True,True
10001,True,True,True,True,False,True,True,True,True,True,True
10002,True,True,True,True,False,True,True,True,True,True,True
10004,True,True,True,True,False,True,True,True,True,True,True
10012,True,True,True,True,False,True,True,True,True,True,True
10013,True,True,True,True,False,True,True,True,True,True,True
10014,True,True,True,True,False,True,True,True,True,True,True
10017,True,True,True,True,False,True,True,True,True,True,True
10025,True,True,True,True,False,True,True,True,True,True,True
10032,True,True,True,True,False,True,True,True,True,True,True
10040,True,True,True,True,False,True,True,True,True,True,True
10041,True,True,True,True,False,True,False,False,False,False,True
10045,True,True,True,True,False,True,True,True,True,True,True
10062,True,True,True,True,False,True,True,True,True,True,True
10064,True,True,True,True,False,True,True,True,True,True,True
10069,True,True,True,True,False,True,True,True,True,True,True
10070,True,True,True,True,False,True,True,True,True,True,True
10072,True,True,True,True,False,True,True,True,True,True,True
10075,True,True,True,True,False,True,True,True,True,True,True
10076,True,True,True,True,False,True,True,True,True,True,True
10077,True,True,True,True,False,True,True,True,True,True,True
10078,True,True,True,True,False,True,True,True,True,True,True
10079,True,True,True,True,False,True,True,True,True,True,True
10080,True,True,True,True,False,True,True,True,True,True,True
10082,True,True,True,True,False,True,True,True,True,True,True
10083,True,True,True,True,False,True,True,True,True,True,True
10084,True,True,True,True,False,True,True,True,True,True,True
10098,True,True,True,True,False,True,True,True,True,True,True
10101,True,True,True,True,False,True,True,True,True,True,True
10107,True,True,True,True,False,True,True,True,True,True,True
10111,True,True,True,True,False,True,True,True,True,True,True
10112,True,True,True,True,False,True,True,True,True,True,True
10118,True,True,True,True,False,True,True,True,True,True,True
10143,True,True,True,True,False,True,True,True,True,True,True
10155,True,True,True,True,False,True,True,True,True,True,True
10156,True,True,True,True,False,True,True,True,True,True,True
10158,True,True,True,True,False,True,True,True,True,True,True
10159,True,True,True,True,False,True,True,True,True,True,True
10160,True,True,True,True,False,True,True,True,True,True,True
10161,True,True,True,True,False,True,True,True,True,True,True
10162,True,True,True,True,False,True,True,True,True,True,True
10171,True,True,True,True,False,True,True,True,True,True,True
10173,True,True,True,True,False,True,True,True,True,True,True
10176,True,True,True,True,False,True,True,True,True,True,True
10179,True,True,True,True,False,True,True,True,True,True,True
10199,True,True,True,True,False,True,True,True,True,True,True
10201,True,True,True,True,False,True,True,True,True,True,True
10206,True,True,True,True,False,True,True,True,True,True,True
10207,True,True,True,True,False,True,True,True,True,True,True
10208,True,True,True,True,False,True,True,True,True,True,True
10219,True,True,True,True,False,True,True,True,True,True,True
10221,True,True,True,True,False,True,True,True,True,True,True
10222,False,False,False,False,False,False,False,False,False,False,True
10223,True,True,True,True,False,True,True,True,True,True,True
10226,True,True,True,True,False,True,True,True,True,True,True
10230,True,True,True,True,False,True,True,True,True,True,True
10231,True,True,True,True,False,True,True,True,True,True,True
10232,True,True,True,True,False,True,True,True,True,True,True
10242,True,True,True,True,False,True,True,True,True,True,True
10244,True,True,True,True,False,True,True,True,True,True,True
10247,True,True,True,True,False,True,True,True,True,True,True
10264,True,True,True,True,False,True,True,True,True,True,True
10271,True,True,True,True,False,True,True,True,True,True,True
10274,False,False,False,False,False,False,False,False,False,False,True
10275,True,True,True,True,False,True,True,True,True,True,True
10276,True,True,True,True,False,True,True,True,True,True,True
10279,True,True,True,True,False,True,True,True,True,True,True
10295,True,True,True,True,False,True,True,True,True,True,True
10325,True,True,True,True,False,True,True,True,True,True,True
10334,True,True,True,True,False,True,True,True,True,True,True
10354,False,False,False,False,False,False,False,False,False,False,True
10371,True,True,True,True,False,True,True,True,True,True,True
10378,False,False,False,False,False,False,False,False,False,False,True
10383,False,False,False,False,False,False,False,False,False,False,True
10384,True,True,True,True,False,True,True,True,True,True,True
10385,True,True,True,True,False,True,True,True,True,True,True
10408,True,True,True,True,False,True,True,True,True,True,True
10409,False,False,False,False,False,False,False,False,False,False,True
10419,True,True,True,True,False,True,True,True,True,True,True
10420,False,False,False,False,False,False,False,False,False,False,True
10421,False,False,False,False,False,False,False,False,False,False,True
10425,False,False,False,False,False,False,False,False,False,False,True
10427,False,False,False,False,False,False,False,False,False,False,True
10447,True,True,True,True,False,True,True,True,True,True,True
10465,True,True,True,True,True,True,True,True,True,True,True
10479,True,True,True,True,True,True,True,True,True,True,True
10484,True,True,True,True,True,True,True,True,True,True,True
10488,True,True,True,True,True,True,True,True,True,True,True
10490,True,True,True,True,True,True,True,True,True,True,True
10492,True,True,True,True,True,True,True,True,True,True,True
10493,True,True,True,True,True,True,True,True,True,True,True
10494,True,True,True,True,True,True,True,True,True,True,True
10542,True,True,True,True,True,True,True,True,True,True,True
10546,True,True,True,True,True,True,True,True,True,True,True
10548,True,True,True,True,True,True,True,True,True,True,True
10578,True,True,True,True,True,True,True,True,True,True,True
10583,True,True,True,True,True,True,True,True,True,True,True
10585,True,True,True,True,True,True,True,True,True,True,True
10587,True,True,True,True,True,True,True,True,True,True,True
10588,True,True,True,True,True,True,True,True,True,True,True
10592,True,True,True,True,True,True,True,True,True,True,True
10593,True,True,True,True,True,True,True,True,True,True,True
10600,True,True,True,True,True,True,True,True,True,True,True
10601,True,True,True,True,True,True,True,True,True,True,True
10617,True,True,True,True,True,True,True,True,True,True,True
10621,True,True,True,True,True,True,True,True,True,True,True
